0.15
197970,1,33610
197117,2,33711
197841,3,33700
199082,4,33064
196915,5,32969
196214,6,32458
198908,7,33018
193879,8,32840
199303,9,33008
198275,10,32737
195675,11,32829
197718,12,33177
198773,13,32868
197860,14,33002
194474,15,32920
195419,16,32708
195923,17,33084
198613,18,32812
197090,19,32983
199805,20,32966
198456,21,32899
198032,22,32883
199766,23,32910
199494,24,33053
201285,25,32875
200240,26,32791
198618,27,32783
200094,28,33375
199419,29,32802
199267,30,32822
198457,31,32811
199808,32,33368
196405,33,33355
199817,34,33330
194751,35,33243
199181,36,33004
195500,37,33032
195117,38,33410
201889,39,33441
198214,40,32853
198338,41,33241
198182,42,33373
196392,43,33275
200571,44,33099
198741,45,33213
199097,46,33456
195666,47,33215
196304,48,32879
198874,49,32787
196606,50,32901
198620,51,33587
194394,52,33540
195377,53,32933
197905,54,33389
199578,55,33426
194365,56,33669
199318,57,33402
198465,58,32632
197849,59,32860
196578,60,32700
197232,61,32649
194850,62,33269
199452,63,33031
200699,64,32956
197285,65,33146
197023,66,33067
196509,67,32992
198966,68,33502
199424,69,33677
200698,70,33465
197332,71,33575
200734,72,33690
197817,73,33814
197648,74,32825
197007,75,32800
198660,76,33498
196801,77,33533
200840,78,33668
196586,79,33410
201191,80,33582
195950,81,33470
199552,82,33699
195754,83,32926
200148,84,33087
196891,85,33176
197830,86,33611
197049,87,33703
202384,88,33162
199456,89,33302
198833,90,33196
196824,91,33162
195891,92,33224
200027,93,33037
200120,94,33532
199310,95,33446
198985,96,33123
198379,97,33684
199030,98,33750
199909,99,33096
197903,100,33162
198666,101,33469
197535,102,33419
196374,103,32916
196809,104,33132
198620,105,32872
197846,106,33359
197579,107,33653
197866,108,33802
200795,109,33165
199130,110,33662
200260,111,32995
197245,112,32910
199905,113,33343
196006,114,33096
202194,115,33052
197104,116,33828
197513,117,33874
200538,118,33462
199074,119,33144
195107,120,33552
200482,121,33890
195986,122,33606
200841,123,33527
198150,124,33787
196899,125,33730
195146,126,33462
195500,127,33159
197035,128,32686
199067,129,32972
196829,130,33906
194591,131,33493
201018,132,32681
198535,133,32885
198470,134,33254
198915,135,33712
198673,136,33449
197425,137,33155
201364,138,33416
197255,139,32950
196988,140,32969
